		Dry-bulb temperature (°C)
		
Date	Time	KEW.FWT
	22:00	7.00
	23:00	6.80
Wed, 15/Jan	24:00	6.80
	01:00	6.30
	02:00	5.90
	03:00	5.50
	04:00	5.40
	05:00	5.80
	06:00	6.20
	07:00	4.80
	08:00	4.20
	09:00	4.40
	10:00	4.60
	11:00	5.10
	12:00	5.60
	13:00	5.80
	14:00	6.10
	15:00	6.40
	16:00	6.00
	17:00	5.80
	18:00	5.00
	19:00	4.00
	20:00	3.00
	21:00	3.00
	22:00	2.70
	23:00	2.30
Thu, 16/Jan	24:00	2.40
	01:00	2.80
	02:00	3.00
	03:00	3.60
	04:00	3.70
	05:00	4.40
	06:00	4.70
	07:00	5.00
	08:00	5.30
	09:00	6.20
	10:00	7.20
	11:00	9.20
	12:00	10.10
	13:00	10.70
	14:00	11.10
	15:00	11.20
	16:00	11.10
	17:00	11.60
	18:00	11.80
	19:00	11.80
	20:00	11.90
	21:00	11.00
	22:00	10.70
	23:00	10.40
Fri, 17/Jan	24:00	10.60
	01:00	9.70
	02:00	9.00
	03:00	8.20
	04:00	8.10
	05:00	6.10
	06:00	6.40
	07:00	6.10
	08:00	6.60
	09:00	6.20
	10:00	6.40
	11:00	6.90
	12:00	6.90
	13:00	7.70
	14:00	7.20
	15:00	6.10
	16:00	6.00
	17:00	6.00
	18:00	6.40
	19:00	6.00
	20:00	6.10
	21:00	6.10
	22:00	6.00
	23:00	6.00
Sat, 18/Jan	24:00	5.80
	01:00	5.40
	02:00	5.30
	03:00	6.30
	04:00	6.30
	05:00	6.10
	06:00	6.00
	07:00	5.60
	08:00	5.60
	09:00	5.40
	10:00	5.40
	11:00	6.10
	12:00	6.00
	13:00	5.90
	14:00	6.10
	15:00	6.60
	16:00	6.00
	17:00	5.50
	18:00	4.60
	19:00	3.60
	20:00	2.80
	21:00	2.60
	22:00	2.00
	23:00	1.60
Sun, 19/Jan	24:00	1.60
	01:00	2.10
	02:00	2.20
	03:00	2.20
	04:00	2.20
	05:00	2.30
	06:00	2.20
	07:00	1.50
	08:00	1.10
	09:00	1.80
	10:00	2.10
	11:00	2.70
	12:00	3.80
	13:00	4.30
	14:00	4.80
	15:00	4.80
	16:00	4.10
	17:00	2.80
	18:00	1.70
	19:00	1.10
	20:00	0.90
	21:00	1.40
	22:00	1.50
	23:00	1.30
Mon, 20/Jan	24:00	1.20
	01:00	2.10
	02:00	2.30
	03:00	2.70
	04:00	3.30
	05:00	3.10
	06:00	1.80
	07:00	2.00
